,leaf_index,leaf_value,leaf_weight,leaf_count,tree_index,split_index,depth,split_feature,split_gain,threshold,decision_type,default_left,missing_type,internal_value,internal_weight,internal_count
28,2,-1.4284935843988797,5.969525054097174,35,0,30,5,0,1.7666900157928467,0.022632978038070354,<=,False,NaN,-1.4328,15.671,97
29,31,-1.4354372439470127,9.701512336730955,62,0,30,5,0,1.7666900157928467,0.022632978038070354,<=,False,NaN,-1.4328,15.671,97
30,10,-1.4025136922357897,11.32072873413563,44,0,10,5,13,28.488300323486328,280.50000000000006,<=,False,NaN,-1.41379,22.9703,109
31,11,-1.424775254709978,11.649535074830053,65,0,10,5,13,28.488300323486328,280.50000000000006,<=,False,NaN,-1.41379,22.9703,109
32,0,0.0069787117150292175,10.677794471383093,52,1,11,5,22,22.118799209594727,-0.0029224691550917494,<=,False,NaN,-0.00368823,23.7325,135
33,12,-0.012410095618507708,13.05471794307232,83,1,11,5,22,22.118799209594727,-0.0029224691550917494,<=,False,NaN,-0.00368823,23.7325,135
34,7,-0.012404037839620805,8.503854393959044,54,1,7,5,42,46.11970138549805,43.100000381469734,<=,False,NaN,0.00957404,79.1419,369
35,8,0.011524665399305868,8.64520415663719,39,1,30,7,22,12.136099815368652,-0.017898099612926797,<=,False,NaN,0.0205169,20.1275,77
36,31,0.027252740362690566,11.482296809554102,38,1,30,7,22,12.136099815368652,-0.017898099612926797,<=,False,NaN,0.0205169,20.1275,77
37,13,-0.012412792160374721,8.209512904286381,52,1,14,8,42,24.10540008544922,141.84999847412112,<=,False,NaN,-0.00108359,14.6133,80
38,15,0.01343309541025566,6.4037643671035775,28,1,14,8,42,24.10540008544922,141.84999847412112,<=,False,NaN,-0.00108359,14.6133,80
39,14,0.00016587294033320335,9.868071019649504,53,1,15,8,6,22.33009910583496,7.367500066757203,<=,True,NaN,0.0129771,35.8973,158
40,16,0.02699532089172589,10.505759418010713,35,1,24,9,28,14.812000274658203,87.50000000000001,<=,True,NaN,0.0178299,26.0292,105
41,25,0.01159785095410937,15.523434504866598,70,1,24,9,28,14.812000274658203,87.50000000000001,<=,True,NaN,0.0178299,26.0292,105
42,2,0.04349166133234125,13.328236088156698,27,1,16,6,22,19.14900016784668,-0.014929099800220598,<=,True,NaN,0.0332628,48.0663,135
