,ab_duration_shortest_in_last_24h,adm_hosp_age,adm_hosp_oper__medical__ohe,atc_last_24h__g2__a0__ohe,atc_last_24h__g2__c0__ohe,atc_last_24h__g2__c1__ohe,atc_last_24h__g2__d0__ohe,atc_last_24h__g2__d1__ohe,atc_last_24h__g2__e0__ohe,atc_last_24h__g2__f0__ohe,atc_last_24h__g2__g0__ohe,atc_last_24h__g2__m0__ohe,atc_last_24h__g2__x0__ohe,atc_last_24h__g2__x1__ohe,atc_last_24h__g2__x2__ohe,bmi,bp_sys__event_m1d__min,crp__event_m3d__last,crp__event_m3d__trend,heart_rate__event_m1d__last,heart_rate__event_m1d__trend,is_sdd_within_14d_before_stop,is_sex__male,kreat__event_m1d__last,lactate__event_m3d__last,lactate__event_m3d__trend,leukocytes__event_m3d__last,leukocytes__event_m3d__trend,mic__is_positive__blood__event_m3d__any,mic__is_positive__sputum__event_m3d__any,mic__is_positive__tip__event_m3d__any,mic__is_positive__urine__event_m3d__any,mic__pathgen_high__event_m3d__ohe,mic__pathgen_low__event_m3d__ohe,mic__pathgen_medium__event_m3d__ohe,mic__pathgen_none__event_m3d__ohe,mic__pathgen_other__event_m3d__ohe,mic__sdd_positive__event_m3d__any,ph__arterial__event_m1d__max,ph__arterial__event_m1d__min,resp_rate__event_m1d__last,resp_rate__event_m1d__trend,sedation__event_m3d__any,sedation__event_m3d_m1d__any_increase_above_50p,start_on_icu,temperature__event_m1d__max,temperature__event_m1d__trend,trombocytes__event_m3d__last,trombocytes__event_m3d__trend
atc_last_24h__g2__g0__ohe,-0.041293723882106656,-0.03306842458664881,-0.05558906580180532,-0.011291348241211674,0.04527179872649367,0.007340534833459818,-0.04778684947914579,-0.03152673999775239,-0.012456005552259328,-0.011603973268353619,1.0,-0.04311998611845675,-0.007264243119325959,0.06934092825693129,0.023867071412990253,-0.03069763943238731,-0.010360565165745064,0.05002239462860502,0.003962362818435823,0.006178744970495281,-0.016469513689558308,-0.025891249275028897,-0.04026726152776927,-0.01373384766847249,0.051506560417336346,-0.0004112175788810406,0.00983047724522401,-0.008473239468697097,0.013975942486119006,-0.04695027838118362,-0.020948972555267203,0.0025763613627875544,-0.0050023290128586775,-0.015602394771979783,-0.01579441960280626,-0.02585466321537051,-0.03168514922693322,-0.016705974392738923,0.041032390721971485,0.027508961748824078,-0.013848117646781252,-0.008344252751467456,0.022542373114124152,0.017562548148916852,-0.06383307136814924,0.006977179570171862,-0.00852591418536994,-0.015901348605696617,-0.004665003498443562
atc_last_24h__g2__m0__ohe,0.02149028191825751,0.029535058241030285,0.07633766100365423,-0.036458085753881216,-0.050348234824854024,-0.11300954025785238,-0.1644280898440332,-0.10554837852583186,-0.05165500241997943,-0.0012577235945310026,-0.04311998611845675,1.0,-0.09672380625827269,0.0025057166675565338,-0.013864495621100509,-0.0017691481014964654,-0.05139049296285901,0.08492963870022648,-0.01753173335761448,-0.007136041823076458,-0.016333186428554056,-0.048497789715260586,0.024767877324942296,0.03687411049631668,0.02125208523046465,0.014456653767462167,0.019126545470540036,-0.013641477090846036,-0.018593238830993893,0.07889488834293493,-0.0027076610098310545,0.005254603664972387,0.05828479802463967,-0.024833664051352046,-0.029832157018477214,-0.04713288661357422,0.07712906439422651,0.04077629280571701,-0.09357562447489275,-0.10574424788546861,0.01193301306762231,-0.0030671992351832735,-0.027222113593291762,-0.013052851413952826,-0.05098994637605107,0.02371206512283479,0.0002698660502782069,-0.013638065462186821,-0.004268329875173315
atc_last_24h__g2__x0__ohe,0.041898389026360755,-0.04688172631709727,-0.09504949323450684,-0.03899255649748276,-0.12629310548457345,-0.1451320037309055,-0.1554620009162374,0.09044442997718675,-0.058019828514266715,-0.0333835804593504,-0.007264243119325959,-0.09672380625827269,1.0,-0.01996542558223691,-0.01625500564598087,0.04294389306424416,0.03201544755306146,-0.011808903240570661,-0.014106617742750033,0.06608009289651998,0.007456819228293033,-0.21430152425415339,-0.0015883473929057086,-0.04044559442506039,-0.00833851133796088,0.01847748449274812,0.051616051139446555,0.014534166927605187,0.18903123131785743,-0.05550973490945326,0.12295321469884454,-0.010708398445570536,-0.09583041390670838,0.17954222805200226,0.1338035877906213,0.03174090990492793,-0.04140901243494758,-0.04289976177603334,0.012207442660881921,-0.00011077607442950927,0.08380085137573008,-0.009731960418878617,0.023464934157811403,-0.004716473472082922,0.07464320030902681,0.1301379140876119,-0.014252078611557625,0.023736237273909694,0.023996696885685113
atc_last_24h__g2__x1__ohe,0.009726852659820564,0.0464725322435102,-0.14480774486240916,-0.03536025205880826,-0.08754070654518468,-0.10078422355135842,0.023437170642740982,-0.07513800926908873,-0.021345588889785598,-0.027753804030951353,0.06934092825693129,0.0025057166675565338,-0.01996542558223691,1.0,0.019136838155366487,-0.025613410467714988,-0.033606306361718574,0.09463357263610787,-0.016523702510358486,0.04603455523810934,-0.010251676551388022,0.08820259299753862,-0.026127127689877676,0.05638710609389478,0.06625237198015066,-0.006282062689364241,0.0750486536514891,-0.017239460607729983,-0.02448605823351261,-0.06332722365903772,-0.026663179778917682,0.009189043334210808,-0.056574827577269095,-0.02881526233891261,-0.02898718828814848,0.008562200431049142,0.01526145040082089,-0.03318784830361114,-0.015639400826085913,-0.00808148261828466,-0.020523018050534775,-0.003526578077086522,0.010038428332123098,0.01619942941433217,-0.19954495641831674,-0.01875634087202369,-0.0037303389820719803,-0.0422680380854647,-0.007061845732452403
atc_last_24h__g2__x2__ohe,0.03988143018209927,-0.019372850310350045,-0.00518788818569502,0.10236622338548394,-0.025122173703292963,-0.029466783115290968,-0.06469427160601865,0.006791537949378986,0.01876239478695972,-0.007813296045329191,0.023867071412990253,-0.013864495621100509,-0.01625500564598087,0.019136838155366487,1.0,-0.03290327242862689,0.010644796276385945,-0.001996450588390781,-0.0009895908549139231,0.02196629198578213,0.002358490798320611,-0.048729517054932725,-0.023265162092004354,0.0028425749499957844,-0.009222198129732507,0.0024922120073376866,-0.012656268649499213,-0.008268994257690123,-0.02717448414369698,-0.004315840482204664,-0.014105558556065411,-0.010495678984950952,-0.01852866580298037,-0.028908400539257372,0.024840609178190434,-0.034876854668966284,0.0006302812229795276,0.1011062306569767,-0.039536273013799604,-0.008029027105262139,0.033475196687783836,-0.0020869739610273374,0.0031995131905663723,0.004625140926155194,-0.008555738601510902,-0.03493953155316342,-0.00996884457861851,-0.011868721003894073,0.0036468468088263297
bmi,-0.03317842691712375,0.048797104534085145,0.04994243945493711,-0.002832586893370556,-0.033423830985798035,-0.0021838533543812647,0.008355505065879235,0.0032220390887707216,-0.02639746392968608,0.014395370935362488,-0.03069763943238731,-0.0017691481014964654,0.04294389306424416,-0.025613410467714988,-0.03290327242862689,1.0,-0.01697865786978905,0.025407780572042873,-0.00676646817459351,0.03280806935138614,0.03332658200728225,0.01295908093742008,-0.033946549285859454,0.0867181607358643,0.01641912645667905,0.04260122839991,-0.021212783285997985,0.012191139377625922,0.041339305795001315,0.02984353191814886,0.04872874260604102,-0.004572348756798643,0.018840110064959056,0.049572791909514906,0.0036838186078135358,0.0021888483461532894,-0.02866981585854188,-0.010840668057573557,-0.07285040133891761,-0.05894372076849244,0.05118270891682168,-0.01360230873207797,-0.03987580453619306,0.013046758316549625,0.06655464148514016,0.07782926435936724,0.0013268356504552415,-0.01723831229237094,0.0013219398664686276
bp_sys__event_m1d__min,0.008824582159842696,-0.06346960041543333,-0.06495470607371938,0.008269393518307131,0.009265903936750017,-0.029410210629502356,0.07998377395617935,-0.03715765744222672,-0.02747099983330492,0.007591355340210631,-0.010360565165745064,-0.05139049296285901,0.03201544755306146,-0.033606306361718574,0.010644796276385945,-0.01697865786978905,1.0,-0.08255471409870044,-0.02298938017163637,-0.10554222977049617,0.010193031425716464,0.026601558791868065,0.012299729829624392,-0.041113057791785174,-0.15614021938762473,-0.001347990799611302,-0.05491995560346397,-0.012535987528838567,-0.029322731463270992,-0.0025666220081715526,-0.012412275784956963,-0.01999394516346828,-0.021219476465914985,-0.014822758493066532,-0.048865577871196504,-0.010171905321039352,0.015429526758162317,-0.010883557431037194,0.13385532058383295,0.2272067446052457,-0.015420867458887526,-0.006096819005329502,0.017707311448702925,0.008391321778048605,0.028922997722304847,0.012111278567663824,0.029768040650980866,0.0382630414667357,0.011166637298242028
crp__event_m3d__last,-0.12642089470857587,0.019805209390309955,-0.013977468100839769,-0.031514510169348864,-0.031942793763967116,0.024607986291683325,-0.01250155990686756,0.041700478659220795,-0.02474110479060137,-0.012861555748008258,0.05002239462860502,0.08492963870022648,-0.011808903240570661,0.09463357263610787,-0.001996450588390781,0.025407780572042873,-0.08255471409870044,1.0,0.06249992367890599,0.11616337282183063,0.020031675750153438,0.020025534657083028,0.02463646003618289,0.1272973596467163,-0.01969519693265528,-0.04087613976113239,0.03130888034654993,-0.011417889539994982,0.08172877934993014,0.019139927117581654,0.025370279716499543,0.004970462535074171,0.054799782187685775,0.018096310655277482,-0.0028904447165556996,-0.029153053487446824,0.009446201727737554,-0.06505906725108727,-0.09826728847040309,-0.09856097431227634,0.09563405684289145,-0.018113052137389018,0.03430744814811823,0.004803500757252084,-0.0728842933272468,0.16984489038689574,-0.014855399862065884,-0.061152297749115105,0.008417237642955596
crp__event_m3d__trend,-0.010611095869694318,-0.027380110822064572,0.03179422338920302,-0.002524593363965553,0.007298670915522245,-0.006202782819694581,0.02072996915232551,0.018462872784893832,0.004679866043147668,-0.0039383614597439985,0.003962362818435823,-0.01753173335761448,-0.014106617742750033,-0.016523702510358486,-0.0009895908549139231,-0.00676646817459351,-0.02298938017163637,0.06249992367890599,1.0,-0.01153574441789574,-0.030942908639157232,0.018846763493537533,-0.015181775558996156,-0.024941862571499614,-0.05875533004026147,0.003365844412952747,-0.0100021926963999,-0.019316907514753855,0.02670392236890029,-0.052711500089416045,0.0035309847042177137,0.08995648764269733,-0.03284793078802584,-0.0038317906695624557,0.006946358939326244,0.038412515267255344,-0.020597053240349494,-0.005198039165946388,-0.0037563802486688617,0.026877935504406467,-0.007462782013220322,0.0007508076013927345,0.013496443040527991,0.026676997992982322,0.023003261156578067,0.01670828631909463,-0.06069281123431136,-0.016310202116264615,0.00015107641280425938
heart_rate__event_m1d__last,0.0004231263680597872,-0.15970828701896997,-0.035592618300351465,-0.004206657950256156,-0.007287175496902315,0.04539363089995894,-0.09105999406202075,0.07525760931895788,0.0033623213529221673,0.018747067654354625,0.006178744970495281,-0.007136041823076458,0.06608009289651998,0.04603455523810934,0.02196629198578213,0.03280806935138614,-0.10554222977049617,0.11616337282183063,-0.01153574441789574,1.0,0.20976499069860524,-0.09985012873646859,-0.09780199863381066,0.0361563361369304,0.10880280640934749,0.00853672567228229,0.08266725860544832,0.03767100144889072,0.05371279469515731,-0.011354545949200382,0.005847097548414289,0.029260109352896625,-0.015519931540978565,0.02326949335716088,0.02485501155356321,0.029925798001496372,0.01091991612640861,0.0059005430167946024,-0.02444881086266962,-0.0350572442267521,0.178780454241773,-0.0007878702660589164,-0.0019587338197281927,-0.021393455279680035,0.001401476087744881,0.17505207814350926,-0.0066564859780039246,0.02051820528654508,0.024960483911144353
